qid,term,context,sims,most_similar_synonym
544060,dresden,weather in dresden august,"['city', 'germany', 'climate', 'summer', 'forecast', 'temperature', 'tourism', 'saxony', 'season', 'weather']",summer
639084,hortensia,what does hortensia mean in english,"['hydrangea', 'flower', 'plant', 'botany', 'garden', 'flora', 'bloom', 'nature', 'beauty', 'horticulture']",hydrangea
863187,wintv,what is wintv,"['software', 'television', 'pc', 'media', 'broadcast', 'digital', 'tuner', 'video', 'streaming', 'technology']",media
525047,trumbull,trumbull marriott fax number,"['hotel', 'service', 'hospitality', 'accommodation', 'marriott', 'business', 'contact', 'corporate', 'guest', 'stay']",corporate
760930,islet,what is islet transplantation,"['medical', 'diabetes', 'treatment', 'pancreas', 'health', 'surgery', 'therapy', 'transplant', 'clinical', 'cell']",cell
1088958,cadi,cadi b age,"['celebrity', 'rapper', 'music', 'artist', 'entertainment', 'star', 'performer', 'fame', 'culture', 'personality']",star
575616,ankole,what are the weight an ankole cattle,"['cattle', 'breed', 'cow', 'livestock', 'african', 'horns', 'farm', 'ranch', 'animal', 'agriculture']",livestock
1091654,parisian,phone number for parisian beauty school,"['cosmetology', 'beauty', 'school', 'education', 'fashion', 'styling', 'training', 'academy', 'institute', 'professional']",institute
1092394,msdcf,msdcf definition,"['funding', 'development', 'community', 'support', 'grant', 'program', 'finance', 'investment', 'social', 'project']",grant
488676,retinue,retinue define,"['entourage', 'followers', 'court', 'suite', 'group', 'staff', 'escort', 'company', 'assistants', 'crew']",group
1089763,miners,the miners state bank routing number,"['bank', 'financial', 'institution', 'money', 'deposit', 'account', 'transaction', 'savings', 'loan', 'service']",institution
990010,paihia,where is paihia,"['town', 'newzealand', 'tourism', 'travel', 'destination', 'bay', 'beach', 'island', 'locale', 'visit']",locale
61277,brat,calories per brat,"['sausage', 'food', 'nutrition', 'meal', 'meat', 'cooking', 'diet', 'caloric', 'snack', 'german']",meal
559709,plectrums,what are guitar plectrums,"['pick', 'guitar', 'music', 'instrument', 'strumming', 'accessory', 'tool', 'player', 'sound', 'performance']",strumming
